STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Ala-SaFeRise-1,29.874,-82.5915,Ala-SaFeRise,Alachua,Santa Fe River Rise-1,1,LW,River/Stream
Ala-SaFeSink-1,29.9146,-82.5796,Ala-SaFeSink,Alachua,Santa Fe River Sink-1,1,LW,River/Stream
Ala-SaFeSink-2,29.9122,-82.573,Ala-SaFeSink,Alachua,Santa Fe River Sink-2,1,LW,River/Stream
Ala-SantaFbar-1,29.7143,-82.0623,Ala-SantaFbar,Alachua,Santa Fe-barricade,1,LW,Lake
Ala-SantaBlue-1,29.7217,-82.0861,Ala-SantaBlue,Alachua,Santa Fe-Blue Bayou,1,LW,Lake
Ala-SantaFecm-1,29.7166,-82.0622,Ala-SantaFecm,Alachua,Santa Fe-canal mouth,1,LW,Lake
Ala-SantaFePC-1,29.7122,-82.0623,Ala-SantaFePC,Alachua,Santa Fe-Painter Canal,1,LW,Lake
Ala-SuryaKund-1,29.8082,-82.487,Ala-SuryaKund,Alachua,Surya Kund,1,LW,Lake
Ala-SuryaKund-2,29.8081,-82.4871,Ala-SuryaKund,Alachua,Surya Kund,2,LW,Lake
Ala-SuryaKund-3,29.8078,-82.4871,Ala-SuryaKund,Alachua,Surya Kund,3,LW,Lake
Ala-TurkeyC-1-1,29.7586,-82.4226,Ala-TurkeyC-1,Alachua,Turkey Creek-1,1,LW,River/Stream
Ala-TurkeyC-2-1,29.7544,-82.4397,Ala-TurkeyC-2,Alachua,Turkey Creek-2,1,LW,River/Stream
Ala-Watermelo-1,29.5502,-82.6113,Ala-Watermelo,Alachua,Watermelon Pond,1,LW,Lake
Ala-Watermelo-2,29.5452,-82.6058,Ala-Watermelo,Alachua,Watermelon Pond,2,LW,Lake
Ala-Watermelo-3,29.5498,-82.6032,Ala-Watermelo,Alachua,Watermelon Pond,3,LW,Lake
Ala-Wauberg-1,29.5249,-82.3019,Ala-Wauberg,Alachua,Wauberg,1,LW,Lake
Ala-Wauberg-2,29.5301,-82.3005,Ala-Wauberg,Alachua,Wauberg,2,LW,Lake
Ala-Wauberg-3,29.5341,-82.3025,Ala-Wauberg,Alachua,Wauberg,3,LW,Lake
Bay-Beatty-Bayou-1,30.2535,-85.621,Bay-Beatty-Bayou,Bay,Beatty Bayou-1,1,LW,River/Stream
Bay-Burnt M-1L,30.296,-85.7617,Bay-Burnt M-1L,Bay,Burnt Mill Lower,1,LW,River/Stream
Bay-Burnt M-1U,30.3286,-85.7635,Bay-Burnt M-1U,Bay,Burnt Mill Upper,1,LW,River/Stream
Bay-Burnt-Mill-Upper-2,30.3384,-85.7672,Bay-Burnt-Mill-Upper,Bay,Burnt Mill Upper-2,1,LW,River/Stream
Bay-CallawayB-1,30.1364,-85.5704,Bay-CallawayB,Bay,Callaway Bayou,1,LW,River/Stream
Bay-CallawayB-2,30.125,-85.5633,Bay-CallawayB,Bay,Callaway Bayou-2,1,LW,River/Stream
Bay-Crooked L-1,30.2918,-85.808,Bay-Crooked L,Bay,Crooked Lower,1,LW,River/Stream
Bay-Crooked U-1,30.3082,-85.8118,Bay-Crooked U,Bay,Crooked Upper,1,LW,River/Stream
Bay-Crooked-Upper-2,30.3153,-85.8132,Bay-Crooked-Upper,Bay,Crooked Upper-2,1,LW,River/Stream
Bay-DeerPoin-1,30.2706,-85.6002,Bay-DeerPoin,Bay,Deer Point,1,LW,Lake
